LFPHILO;Licence en Philosophie
LFISLAM;Licences Etudes islamiques
LFFRANC;Licence en études françaises
LFGEOGR;Géographie
LFHISTO;Licence Histoire et civilisation
LFSOCIO;Licence en sociologie
LFSOL3;3ème année en sociologie
LFARABE;Licence en Etudes arabes
LFENGLI;Licences en étude anglaises
SLFV;Licence Sciences de  la Vie
SLFP;Science de la Matière physique
SLFC;Science de la Matière chimie
SLFT;Licence Sciences de la Vie et de la Terre
SLFM;Licence Sc. Math et Applications
SLFI;Licence Science Informatique
NDIAPCI;AP au Cycle Ingénieur
NDIGEIN;Diplôme Ingénieur d'Etat en Génie Informatique
NDIRESY;Diplôme Ingénieur d'Etat en Réseaux et Systèmes de Télécom
NDIGEEL;Diplôme Ingénieur d'Etat en Génie Electrique
NDIGEDU;Diplôme Ingénieur d'Etat en Génie Industriel
GDCGTC;Diplôme  de l'ENCG Tronc Commun
JLFSEG;Licence Sciences Economie et Gestion
JLFDPF;Droit privé français
NMSSI;Master Sécur Sys Infor